activity,x-axis,y-axis,z-axis
Jogging,19.95,17.05,9.0
Jogging,6.97,19.27,-3.91
Jogging,-3.38,-19.61,0.69
Jogging,-7.97,-12.26,13.21
Jogging,19.57,18.85,-4.63
Jogging,0.08,-1.76,-2.22
Jogging,3.21,13.67,-3.79
Jogging,-4.06,-4.14,-2.03
Jogging,0.72,19.19,-3.36
Jogging,-3.68,15.47,0.8036005
Jogging,0.72,5.71,-1.46
Jogging,0.42,4.14,-1.12
Jogging,-1.33,2.07,-1.0760075
Jogging,8.62,13.44,8.240311
Jogging,16.25,15.6,-3.9771416
Jogging,4.75,-11.8,-8.77
Jogging,-12.76,12.91,-1.1441092
Jogging,19.27,19.57,-3.2961242
Jogging,3.15,17.47,-0.15
Jogging,10.12,1.5,5.52
Jogging,5.71,19.57,3.1054392
Jogging,15.89,3.17,-7.6273947
Jogging,4.25,9.89,4.2495484
Jogging,3.3,13.18,-0.69
Jogging,4.18,8.73,-7.97
Jogging,13.18,-5.18,-12.37
Jogging,4.52,7.55,2.79
Jogging,3.41,-8.43,2.7240696
Jogging,2.72,17.05,10.76
Jogging,1.99,-3.3,-1.08
Jogging,-2.53,-16.28,3.214402
Jogging,-5.86,1.33,6.701211
Jogging,-2.96,3.06,-0.42223078
Jogging,4.18,0.84,5.67
Jogging,18.96,6.82,11.96
Jogging,3.83,-4.52,1.38
Jogging,-7.93,5.9,4.82
Jogging,1.76,10.88,0.8
Jogging,3.3,19.57,-6.74
Jogging,0.76,9.66,0.69
Jogging,11.84,18.89,-19.23
Jogging,-4.67,0.31,-3.5276701
Jogging,1.46,7.31,2.68
Jogging,5.67,4.75,3.87
Jogging,0.46,-19.61,6.973618
Jogging,1.8387469,-1.3756552,-0.6537767
Jogging,-6.51,-11.26,-15.704261
Jogging,-13.95,10.61,2.8330324
Jogging,6.82,1.84,4.71
Jogging,-3.34,12.68,0.23154591
Jogging,-3.49,-6.59,8.85
Jogging,-19.61,3.83,-5.13
Jogging,-2.37,18.92,-2.1792557
Jogging,-11.45,8.05,-5.86
Jogging,-18.89,-3.79,14.48
Jogging,-0.42,8.35,-0.10896278
Jogging,7.21,-0.27,-0.6537767
Jogging,19.57,19.38,-4.21
Jogging,-1.92,-1.12,2.56
Jogging,3.34,19.57,-3.9499009
Jogging,14.1,12.91,-2.56
Jogging,-3.45,3.99,6.21
Jogging,12.98,2.83,6.36
Jogging,-6.89,0.46,3.36
Jogging,-15.36,1.95,0.61
Jogging,-0.11,9.08,3.57
Jogging,10.8,9.47,-2.3018389
Jogging,8.54,1.76,3.91
Jogging,2.98,-9.92,-8.812365
Jogging,13.76,14.94,-3.6774938
Jogging,4.29,2.37,8.73
Jogging,-14.29,14.02,2.56
Jogging,-5.94,-6.05,3.3
Jogging,-2.37,10.73,8.076866
Jogging,12.49,-19.61,-0.08
Jogging,-5.09,4.02,-2.96
Jogging,6.51,9.85,3.49
Jogging,-1.84,11.3,-0.42223078
Jogging,-3.11,-16.28,-9.7
Jogging,-16.63,0.72,-1.04
Jogging,-17.35,-4.75,-4.75
Jogging,-1.31,19.53,-9.28
Jogging,-12.45,14.44,-2.2201166
