activity,x-axis,y-axis,z-axis
Jogging,-10.0,0.38,1.92
Jogging,-4.44,-7.89,-3.17
Walking,-0.53,6.36,-2.3426998
Jogging,18.31,4.63,5.7886477
Standing,-2.03,9.66,-1.08
Jogging,-2.75,6.97,2.6832085
Jogging,-9.34,9.11,-10.800936
Walking,6.02,10.88,-0.23154591
Standing,-1.42,9.77,0.8
Standing,3.57,9.34,-1.95
Walking,-2.11,3.76,0.19068487
Jogging,-5.71,6.74,-1.95
Standing,-0.23,9.96,1.14
Standing,-1.12,9.47,-0.42
Standing,2.56,9.34,2.87
Jogging,6.89,19.53,-3.214402
Standing,-6.21,7.59,1.23
Walking,10.19,-0.61,-3.34
Jogging,-4.29,9.28,-4.48
Standing,0.95,9.89,0.19
Jogging,-0.8,3.91,1.33
Walking,2.03,10.15,1.7978859
Jogging,-7.89,-8.5,-8.35
Standing,-6.89,6.93,1.31
Jogging,2.96,18.89,-3.57
Walking,0.0,15.36,0.7218784
Walking,1.12,12.22,2.79
Walking,-0.72,8.2,-0.72
Walking,4.21,7.35,0.89
Standing,2.15,9.85,0.0
Jogging,-1.31,-2.34,4.48
Standing,-8.05,5.33,-1.04
Standing,-5.33,8.28,1.42
Standing,0.04,9.89,1.04
Jogging,-0.04,8.85,-1.525479
Walking,7.08,6.63,-0.8036005
Standing,-7.31,6.63,1.31
Jogging,-19.57,-19.61,-4.944186
Jogging,-15.55,-7.27,11.958665
Jogging,9.72,17.97,0.19
Standing,3.57,9.47,-1.92
Jogging,-7.31,17.62,-8.27
Standing,0.08,9.89,1.33
Walking,-3.15,13.87,-0.61
Standing,-1.04,9.47,-0.08
Standing,-1.23,9.43,-0.08
Standing,-1.18,9.47,-0.46
Walking,-2.18,6.63,-3.11
Walking,4.29,9.92,0.040861044
Walking,-5.37,9.34,4.9
Jogging,-13.06,8.62,-4.75
Jogging,1.08,2.98,0.04
Standing,-5.22,8.12,-1.57
Walking,-0.53,4.71,4.7943625
Walking,7.93,-0.5,-6.4
Jogging,-0.69,11.65,4.2495484
Standing,-1.33,9.81,2.64
Jogging,6.13,13.02,18.39
Walking,5.98,8.89,-0.3405087
Standing,-1.38,9.47,2.91
Standing,-1.99,9.66,-0.91
Standing,-0.8,9.72,1.54
Standing,-4.33,8.85,0.0
Walking,-6.93,1.33,0.84
Standing,-1.8,9.7,-1.08
Standing,-1.8,9.7,-0.95
Walking,0.89,12.76,-0.23154591
Walking,0.69,5.05,-1.607201
Jogging,19.34,1.69,-1.0351465
Jogging,-5.48,4.79,-3.0237172
Jogging,-8.69,8.01,-5.2
Walking,3.49,2.6,6.5922484
Walking,-14.71,18.43,13.76
Jogging,-7.7,18.31,8.16
Jogging,1.12,4.4,2.37
Jogging,0.04,5.48,1.920469
Jogging,1.33,0.84,-8.499097
Standing,-1.38,9.72,0.76
Standing,-1.14,9.38,1.27
Jogging,4.4,-0.65,-1.6889231
Jogging,18.96,18.62,0.23154591
Jogging,6.59,1.76,5.134871
Standing,2.76,9.47,0.8
Jogging,-13.53,-17.54,4.18
Jogging,3.26,-6.66,7.25
Jogging,5.13,0.19,1.1849703
Walking,13.63,16.02,6.02
Standing,-1.04,9.38,-0.5
Jogging,-7.04,0.08,-0.14982383
Standing,-0.99,9.96,-0.89
Walking,-5.63,5.05,-0.91
Standing,-1.38,9.77,1.56634
Walking,3.49,12.79,-0.88532263
Walking,9.08,17.24,5.053149
Jogging,-4.94,1.27,-0.04
Standing,-0.15,10.31,0.31
Jogging,-1.12,1.84,0.57
Standing,-7.97,5.6,-0.99
Standing,1.14,9.72,0.69
Walking,5.86,11.65,-0.08172209
Jogging,-4.99,5.71,-5.6660647
Standing,-8.31,6.05,0.3
Walking,-4.52,19.42,0.04
Walking,7.35,6.32,-1.27
Walking,3.17,10.27,0.7627395
Walking,-3.26,13.53,1.18
Walking,3.68,14.37,-1.1849703
Standing,-1.04,9.43,-0.34
Standing,0.89,9.96,0.38
Jogging,-14.82,11.11,-11.95
Jogging,-12.07,-2.22,3.45
Jogging,-10.23,7.44,-10.18802
Standing,-2.11,9.77,2.26
Walking,4.67,7.63,0.61
Standing,-0.61,9.51,2.4925237
Walking,1.04,11.56,-3.49
Standing,-7.63,5.09,-1.33
Walking,7.25,5.63,3.214402
Standing,-1.38,9.38,3.3
Standing,-4.94,8.2,1.31
Standing,-0.57,9.92,0.99
Walking,-6.17,1.69,-2.07
Jogging,6.82,14.14,4.671779
Standing,-0.91,9.62,3.17
Jogging,-1.95,0.46,1.04
Standing,-0.89,9.34,2.7649305
Standing,-1.14,9.47,3.17
Standing,-6.09,7.59,1.53
Jogging,-7.35,16.44,-3.1054392
Walking,7.16,14.71,2.070293
Standing,-0.34,9.96,0.69
Jogging,-2.22,3.64,-1.4573772
Walking,2.37,13.99,-0.27
Jogging,12.76,0.84,2.3699405
Standing,-7.67,5.79,-1.14
Jogging,-11.5,-12.79,-3.26
Jogging,-3.15,13.25,-7.35
Jogging,-15.62,18.05,11.536434
Jogging,12.03,2.79,5.41
Standing,0.0,10.08,0.61
Walking,0.5,13.25,3.2961242
Standing,-0.42,9.96,0.93
Jogging,-19.0,-1.92,-3.87
Jogging,2.14,-5.28,-2.68
Jogging,-0.08,-1.27,3.98
Jogging,9.53,19.5,-7.97
Jogging,-19.19,-4.94,2.18
Jogging,2.76,19.57,-0.84
Jogging,-1.27,12.3,4.7126403
Standing,-1.23,9.81,0.61
Standing,0.38,10.23,-1.0351465
Walking,-0.3,0.99,-1.8
Jogging,-4.25,8.31,4.8216033
Walking,2.56,19.53,4.9850473
Walking,-3.6,7.4,-3.72
Walking,0.89,9.0,2.9556155
Walking,5.33,12.64,0.8
Standing,-1.57,9.7,0.9942854
Walking,-4.4,10.19,0.57
Standing,-8.16,6.21,0.53
Standing,-1.23,9.34,1.38
Jogging,-7.59,1.14,5.52
Jogging,14.67,17.97,-3.41
Walking,-1.8,10.76,2.98
Jogging,8.35,19.23,-3.02
Jogging,4.56,14.48,1.7570249
Walking,2.3,13.29,-1.334794
Jogging,9.53,-3.72,6.13
Walking,-0.95,6.47,0.7627395
Walking,-4.37,6.51,-1.33
Walking,10.8,8.39,2.982856
Walking,-8.66,13.57,-0.84
Walking,-2.91,8.2,-2.37
Jogging,-3.26,-1.92,0.5
Standing,1.12,9.89,0.34
Standing,-1.57,9.81,0.57
Walking,2.87,8.73,1.56634
Standing,3.72,9.28,-1.95
Walking,-2.68,11.11,10.337844
Jogging,11.5,18.35,0.08
Jogging,17.54,-0.34,9.85
