activity,x-axis,y-axis,z-axis
Walking,16.02,6.85,5.18
Standing,-1.5,9.47,2.76
Jogging,-6.51,8.77,-0.88532263
Walking,11.56,-2.6,-11.88
Walking,5.98,11.88,13.593107
Jogging,9.7,11.37,9.724928
Standing,1.8,9.85,1.0351465
Walking,0.65,19.27,16.66
Walking,-3.38,17.24,0.76
Jogging,1.95,-0.72,-9.997335
Jogging,-5.86,18.58,-13.14
Walking,-9.43,2.64,-5.09401
Walking,0.99,6.93,-2.3426998
Standing,3.34,9.34,-1.95
Walking,-1.95,13.33,-2.91
Standing,4.63,5.13,-1.42
Walking,2.72,9.23,-2.6832085
Jogging,2.18,12.22,7.1234417
Jogging,-5.37,-18.54,2.18
Standing,0.11,9.92,1.42
Jogging,6.55,10.27,11.35
Standing,-1.5,9.81,0.57
Standing,0.69,9.53,2.79
Jogging,13.82,-0.19,2.56
Walking,-0.53,3.83,2.14
Walking,2.37,9.85,-0.61291564
Walking,4.63,11.96,0.72
Jogging,3.57,4.79,-6.24
Standing,0.08,9.85,1.5
Standing,-7.89,5.63,-1.42
Walking,-3.45,11.37,0.23
Walking,3.3,12.26,7.8861814
Jogging,-4.4,6.7,-3.36
Standing,-0.38,9.58,1.38
Standing,-5.43,8.01,-1.12
Walking,-10.38,-0.34,5.67
Jogging,7.08,9.77,3.214402
Walking,1.33,-2.14,-6.47
Jogging,3.76,4.52,-4.79
Walking,-1.73,2.98,0.04
Walking,3.53,14.67,1.5390993
Standing,-1.53,9.77,0.61
Walking,5.01,15.09,14.37
Jogging,0.8,-5.86,-5.43
Walking,0.61,-0.19,-0.99
Walking,-10.53,0.11,-3.02
Jogging,4.75,7.4,1.1168685
Walking,-4.82,11.73,-3.26
Standing,-3.15,8.43,-1.31
Jogging,0.84,2.79,-0.99
Jogging,5.48,-5.67,-2.982856
Walking,-1.69,2.07,2.070293
Jogging,9.23,18.39,12.26
Walking,1.12,13.25,0.38136974
Walking,-5.43,19.27,0.57
Walking,1.61,8.43,-1.920469
Walking,-2.22,3.91,-2.75
Walking,0.34,8.66,-0.04
Walking,-0.3,7.63,-4.94
Walking,0.57,16.55,2.75
Jogging,-2.83,5.75,-4.7943625
Standing,1.54,9.3,2.34
Walking,5.33,12.37,0.8036005
Jogging,-6.02,-0.8,0.8
Jogging,-6.02,19.57,-0.91
Jogging,19.95,0.8,1.23
Walking,2.22,0.69,-1.88
